"name","time_value","value"
"Columbus",2020-06-21,0.55
"Columbus",2020-06-22,0.49
"Columbus",2020-06-23,0.46
"Columbus",2020-06-24,0.52
"Columbus",2020-06-25,0.47
"Columbus",2020-06-26,0.5
"Columbus",2020-06-27,1.18
"Columbus",2020-06-28,0.94
"Columbus",2020-06-29,1.12
"Columbus",2020-06-30,1.12
"Fort Wayne",2020-04-15,1.02
"Fort Wayne",2020-04-16,0.87
"Fort Wayne",2020-04-17,0.83
"Fort Wayne",2020-04-18,0.76
"Fort Wayne",2020-04-19,0.77
"Fort Wayne",2020-04-20,0.7
"Fort Wayne",2020-04-21,0.88
"Fort Wayne",2020-04-22,0.95
"Fort Wayne",2020-04-23,0.88
"Fort Wayne",2020-04-24,0.93
"Fort Wayne",2020-04-25,0.95
"Fort Wayne",2020-04-26,0.94
"Fort Wayne",2020-04-27,1.12
"Fort Wayne",2020-04-28,1.04
"Fort Wayne",2020-04-29,0.98
"Fort Wayne",2020-04-30,0.94
"Fort Wayne",2020-05-01,0.92
"Fort Wayne",2020-05-02,0.82
"Fort Wayne",2020-05-03,0.78
"Fort Wayne",2020-05-04,0.8
"Fort Wayne",2020-05-05,0.78
"Fort Wayne",2020-05-06,0.76
"Fort Wayne",2020-05-07,0.73
"Fort Wayne",2020-05-08,0.69
"Fort Wayne",2020-05-09,0.69
"Fort Wayne",2020-05-10,0.73
"Fort Wayne",2020-05-11,0.7
"Fort Wayne",2020-05-12,0.65
"Fort Wayne",2020-05-13,0.9
"Fort Wayne",2020-05-14,0.84
"Fort Wayne",2020-05-15,0.79
"Fort Wayne",2020-05-16,0.8
"Fort Wayne",2020-05-17,0.72
"Fort Wayne",2020-05-18,0.83
"Fort Wayne",2020-05-19,0.83
"Fort Wayne",2020-05-20,0.77
"Fort Wayne",2020-05-21,0.71
"Fort Wayne",2020-05-22,0.94
"Fort Wayne",2020-05-23,0.86
"Fort Wayne",2020-05-24,0.79
"Fort Wayne",2020-05-25,0.73
"Fort Wayne",2020-05-26,0.73
"Fort Wayne",2020-05-27,0.64
"Fort Wayne",2020-05-28,0.6
"Fort Wayne",2020-05-29,0.89
"Fort Wayne",2020-05-30,0.85
"Fort Wayne",2020-05-31,0.84
"Fort Wayne",2020-06-01,0.88
"Fort Wayne",2020-06-02,1.05
"Fort Wayne",2020-06-03,1.01
"Fort Wayne",2020-06-04,0.96
"Fort Wayne",2020-06-05,0.84
"Fort Wayne",2020-06-06,0.82
"Fort Wayne",2020-06-07,0.74
"Fort Wayne",2020-06-08,0.74
"Fort Wayne",2020-06-09,0.74
"Fort Wayne",2020-06-10,0.73
"Fort Wayne",2020-06-11,0.77
"Fort Wayne",2020-06-12,0.89
"Fort Wayne",2020-06-13,0.87
"Fort Wayne",2020-06-14,0.81
"Fort Wayne",2020-06-15,0.69
"Fort Wayne",2020-06-16,0.8
"Fort Wayne",2020-06-17,0.87
"Fort Wayne",2020-06-18,0.92
"Fort Wayne",2020-06-19,1.17
"Fort Wayne",2020-06-20,1.14
"Fort Wayne",2020-06-21,1.15
"Fort Wayne",2020-06-22,1.11
"Fort Wayne",2020-06-23,0.97
"Fort Wayne",2020-06-24,0.9
"Fort Wayne",2020-06-25,0.83
"Fort Wayne",2020-06-26,0.8
"Fort Wayne",2020-06-27,0.84
"Fort Wayne",2020-06-28,0.88
"Fort Wayne",2020-06-29,0.91
"Fort Wayne",2020-06-30,0.91
"Elkhart-Goshen",2020-04-15,1.03
"Elkhart-Goshen",2020-04-16,0.81
"Elkhart-Goshen",2020-04-17,0.46
"Elkhart-Goshen",2020-04-18,0.52
"Elkhart-Goshen",2020-04-19,0.6
"Elkhart-Goshen",2020-04-20,0.74
"Elkhart-Goshen",2020-04-21,0.83
"Elkhart-Goshen",2020-04-22,1.08
"Elkhart-Goshen",2020-04-23,1.13
"Elkhart-Goshen",2020-04-24,1.17
"Elkhart-Goshen",2020-04-25,1.07
"Elkhart-Goshen",2020-04-26,0.97
"Elkhart-Goshen",2020-04-27,0.92
"Elkhart-Goshen",2020-04-28,0.9
"Elkhart-Goshen",2020-04-29,0.81
"Elkhart-Goshen",2020-04-30,0.86
"Elkhart-Goshen",2020-05-01,0.87
"Elkhart-Goshen",2020-05-02,0.91
"Elkhart-Goshen",2020-05-03,0.88
"Elkhart-Goshen",2020-05-04,0.88
"Elkhart-Goshen",2020-05-05,0.91
"Elkhart-Goshen",2020-05-06,0.86
"Elkhart-Goshen",2020-05-07,0.79
"Elkhart-Goshen",2020-05-08,0.81
"Elkhart-Goshen",2020-05-09,0.75
"Elkhart-Goshen",2020-05-10,0.77
"Elkhart-Goshen",2020-05-11,0.87
"Elkhart-Goshen",2020-05-12,0.87
"Elkhart-Goshen",2020-05-13,0.83
"Elkhart-Goshen",2020-05-14,0.83
"Elkhart-Goshen",2020-05-15,0.89
"Elkhart-Goshen",2020-05-16,0.91
"Elkhart-Goshen",2020-05-17,0.91
"Elkhart-Goshen",2020-05-18,0.78
"Elkhart-Goshen",2020-05-19,0.71
"Elkhart-Goshen",2020-05-20,0.72
"Elkhart-Goshen",2020-05-21,0.71
"Elkhart-Goshen",2020-05-22,0.69
"Elkhart-Goshen",2020-05-23,0.76
"Elkhart-Goshen",2020-05-24,0.75
"Elkhart-Goshen",2020-05-25,0.75
"Elkhart-Goshen",2020-05-26,1
"Elkhart-Goshen",2020-05-27,0.95
"Elkhart-Goshen",2020-05-28,0.86
"Elkhart-Goshen",2020-05-29,1.05
"Elkhart-Goshen",2020-05-30,1.03
"Elkhart-Goshen",2020-05-31,0.98
"Elkhart-Goshen",2020-06-01,0.98
"Elkhart-Goshen",2020-06-02,1.11
"Elkhart-Goshen",2020-06-03,1.04
"Elkhart-Goshen",2020-06-04,1.11
"Elkhart-Goshen",2020-06-05,1.04
"Elkhart-Goshen",2020-06-06,0.92
"Elkhart-Goshen",2020-06-07,1.2
"Elkhart-Goshen",2020-06-08,1.21
"Elkhart-Goshen",2020-06-09,1.09
"Elkhart-Goshen",2020-06-10,1.02
"Elkhart-Goshen",2020-06-11,0.93
"Elkhart-Goshen",2020-06-12,0.96
"Elkhart-Goshen",2020-06-13,1.02
"Elkhart-Goshen",2020-06-14,0.93
"Elkhart-Goshen",2020-06-15,0.97
"Elkhart-Goshen",2020-06-16,0.97
"Elkhart-Goshen",2020-06-17,1.35
"Elkhart-Goshen",2020-06-18,1.36
"Elkhart-Goshen",2020-06-19,1.29
"Elkhart-Goshen",2020-06-20,1.29
"Elkhart-Goshen",2020-06-21,1.26
"Elkhart-Goshen",2020-06-22,1.07
"Elkhart-Goshen",2020-06-23,1.48
"Elkhart-Goshen",2020-06-24,1.63
"Elkhart-Goshen",2020-06-25,1.4
"Elkhart-Goshen",2020-06-26,1.3
"Elkhart-Goshen",2020-06-27,1.17
"Elkhart-Goshen",2020-06-28,1.16
"Elkhart-Goshen",2020-06-29,1.16
"Elkhart-Goshen",2020-06-30,1.16
"Evansville",2020-04-15,1.07
"Evansville",2020-04-16,1.11
"Evansville",2020-04-17,1.1
"Evansville",2020-04-18,1.03
"Evansville",2020-04-19,1.02
"Evansville",2020-04-20,1.06
"Evansville",2020-04-21,0.76
"Evansville",2020-04-22,0.78
"Evansville",2020-04-23,0.72
"Evansville",2020-04-24,0.79
"Evansville",2020-04-25,0.87
"Evansville",2020-04-26,0.95
"Evansville",2020-04-27,0.92
"Evansville",2020-04-28,1.03
"Evansville",2020-04-29,1.01
"Evansville",2020-04-30,0.92
"Evansville",2020-05-01,0.93
"Evansville",2020-05-02,0.79
"Evansville",2020-05-03,0.61
"Evansville",2020-05-04,0.55
"Evansville",2020-05-05,0.47
"Evansville",2020-05-06,0.42
"Evansville",2020-05-07,0.44
"Evansville",2020-05-08,0.45
"Evansville",2020-05-09,0.42
"Evansville",2020-05-10,0.57
"Evansville",2020-05-11,0.57
"Evansville",2020-05-12,0.92
"Evansville",2020-05-13,0.91
"Evansville",2020-05-14,0.78
"Evansville",2020-05-15,0.67
"Evansville",2020-05-16,0.61
"Evansville",2020-05-17,0.54
"Evansville",2020-05-18,0.53
"Evansville",2020-05-19,0.49
"Evansville",2020-05-20,0.42
"Evansville",2020-05-21,0.43
"Evansville",2020-05-22,0.45
"Evansville",2020-05-23,0.46
"Evansville",2020-05-24,0.46
"Evansville",2020-05-25,0.48
"Evansville",2020-05-26,0.52
"Evansville",2020-05-27,0.52
"Evansville",2020-05-28,0.48
"Evansville",2020-05-29,0.48
"Evansville",2020-05-30,0.44
"Evansville",2020-05-31,0.4
"Evansville",2020-06-01,0.38
"Evansville",2020-06-02,0.45
"Evansville",2020-06-03,0.35
"Evansville",2020-06-04,0.64
"Evansville",2020-06-05,0.67
"Evansville",2020-06-06,0.67
"Evansville",2020-06-07,0.71
"Evansville",2020-06-08,0.73
"Evansville",2020-06-09,0.67
"Evansville",2020-06-10,0.62
"Evansville",2020-06-11,0.54
"Evansville",2020-06-12,0.42
"Evansville",2020-06-13,0.4
"Evansville",2020-06-14,0.39
"Evansville",2020-06-15,0.34
"Evansville",2020-06-16,0.43
"Evansville",2020-06-17,0.41
"Evansville",2020-06-18,0.38
"Evansville",2020-06-19,0.37
"Evansville",2020-06-20,0.41
"Evansville",2020-06-21,1.51
"Evansville",2020-06-22,1.45
"Evansville",2020-06-23,1.67
"Evansville",2020-06-24,1.47
"Evansville",2020-06-25,1.33
"Evansville",2020-06-26,1.12
"Evansville",2020-06-27,1.12
"Evansville",2020-06-28,1.06
"Evansville",2020-06-29,1.07
"Evansville",2020-06-30,1.07
"Chicago-Naperville-Elgin",2020-04-15,1.28
"Chicago-Naperville-Elgin",2020-04-16,1.22
"Chicago-Naperville-Elgin",2020-04-17,1.18
"Chicago-Naperville-Elgin",2020-04-18,1.17
"Chicago-Naperville-Elgin",2020-04-19,1.15
"Chicago-Naperville-Elgin",2020-04-20,1.2
"Chicago-Naperville-Elgin",2020-04-21,1.14
"Chicago-Naperville-Elgin",2020-04-22,1.2
"Chicago-Naperville-Elgin",2020-04-23,1.2
"Chicago-Naperville-Elgin",2020-04-24,1.24
"Chicago-Naperville-Elgin",2020-04-25,1.37
"Chicago-Naperville-Elgin",2020-04-26,1.42
"Chicago-Naperville-Elgin",2020-04-27,1.59
"Chicago-Naperville-Elgin",2020-04-28,1.65
"Chicago-Naperville-Elgin",2020-04-29,1.74
"Chicago-Naperville-Elgin",2020-04-30,1.82
"Chicago-Naperville-Elgin",2020-05-01,1.87
"Chicago-Naperville-Elgin",2020-05-02,1.78
"Chicago-Naperville-Elgin",2020-05-03,1.76
"Chicago-Naperville-Elgin",2020-05-04,1.74
"Chicago-Naperville-Elgin",2020-05-05,1.76
"Chicago-Naperville-Elgin",2020-05-06,1.74
"Chicago-Naperville-Elgin",2020-05-07,1.67
"Chicago-Naperville-Elgin",2020-05-08,1.62
"Chicago-Naperville-Elgin",2020-05-09,1.5
"Chicago-Naperville-Elgin",2020-05-10,1.41
"Chicago-Naperville-Elgin",2020-05-11,1.38
"Chicago-Naperville-Elgin",2020-05-12,1.41
"Chicago-Naperville-Elgin",2020-05-13,1.38
"Chicago-Naperville-Elgin",2020-05-14,1.31
"Chicago-Naperville-Elgin",2020-05-15,1.19
"Chicago-Naperville-Elgin",2020-05-16,1.15
"Chicago-Naperville-Elgin",2020-05-17,1.09
"Chicago-Naperville-Elgin",2020-05-18,1.1
"Chicago-Naperville-Elgin",2020-05-19,1.05
"Chicago-Naperville-Elgin",2020-05-20,0.97
"Chicago-Naperville-Elgin",2020-05-21,0.98
"Chicago-Naperville-Elgin",2020-05-22,1.02
"Chicago-Naperville-Elgin",2020-05-23,1
"Chicago-Naperville-Elgin",2020-05-24,0.94
"Chicago-Naperville-Elgin",2020-05-25,1.01
"Chicago-Naperville-Elgin",2020-05-26,1.18
"Chicago-Naperville-Elgin",2020-05-27,1.18
"Chicago-Naperville-Elgin",2020-05-28,1.16
"Chicago-Naperville-Elgin",2020-05-29,1.13
"Chicago-Naperville-Elgin",2020-05-30,1.08
"Chicago-Naperville-Elgin",2020-05-31,1.02
"Chicago-Naperville-Elgin",2020-06-01,1
"Chicago-Naperville-Elgin",2020-06-02,0.94
"Chicago-Naperville-Elgin",2020-06-03,0.89
"Chicago-Naperville-Elgin",2020-06-04,0.84
"Chicago-Naperville-Elgin",2020-06-05,0.81
"Chicago-Naperville-Elgin",2020-06-06,0.78
"Chicago-Naperville-Elgin",2020-06-07,0.73
"Chicago-Naperville-Elgin",2020-06-08,0.76
"Chicago-Naperville-Elgin",2020-06-09,0.78
"Chicago-Naperville-Elgin",2020-06-10,0.75
"Chicago-Naperville-Elgin",2020-06-11,0.76
"Chicago-Naperville-Elgin",2020-06-12,0.75
"Chicago-Naperville-Elgin",2020-06-13,0.75
"Chicago-Naperville-Elgin",2020-06-14,0.74
"Chicago-Naperville-Elgin",2020-06-15,0.77
"Chicago-Naperville-Elgin",2020-06-16,0.76
"Chicago-Naperville-Elgin",2020-06-17,0.75
"Chicago-Naperville-Elgin",2020-06-18,0.74
"Chicago-Naperville-Elgin",2020-06-19,0.71
"Chicago-Naperville-Elgin",2020-06-20,0.7
"Chicago-Naperville-Elgin",2020-06-21,0.72
"Chicago-Naperville-Elgin",2020-06-22,0.82
"Chicago-Naperville-Elgin",2020-06-23,0.78
"Chicago-Naperville-Elgin",2020-06-24,0.8
"Chicago-Naperville-Elgin",2020-06-25,0.76
"Chicago-Naperville-Elgin",2020-06-26,0.71
"Chicago-Naperville-Elgin",2020-06-27,0.69
"Chicago-Naperville-Elgin",2020-06-28,0.7
"Chicago-Naperville-Elgin",2020-06-29,0.69
"Chicago-Naperville-Elgin",2020-06-30,0.69
"Indianapolis-Carmel-Anderson",2020-04-15,1.48
"Indianapolis-Carmel-Anderson",2020-04-16,1.34
"Indianapolis-Carmel-Anderson",2020-04-17,1.21
"Indianapolis-Carmel-Anderson",2020-04-18,1.2
"Indianapolis-Carmel-Anderson",2020-04-19,1.17
"Indianapolis-Carmel-Anderson",2020-04-20,1.15
"Indianapolis-Carmel-Anderson",2020-04-21,1.14
"Indianapolis-Carmel-Anderson",2020-04-22,1.14
"Indianapolis-Carmel-Anderson",2020-04-23,1.19
"Indianapolis-Carmel-Anderson",2020-04-24,1.34
"Indianapolis-Carmel-Anderson",2020-04-25,1.36
"Indianapolis-Carmel-Anderson",2020-04-26,1.38
"Indianapolis-Carmel-Anderson",2020-04-27,1.33
"Indianapolis-Carmel-Anderson",2020-04-28,1.37
"Indianapolis-Carmel-Anderson",2020-04-29,1.47
"Indianapolis-Carmel-Anderson",2020-04-30,1.32
"Indianapolis-Carmel-Anderson",2020-05-01,1.24
"Indianapolis-Carmel-Anderson",2020-05-02,1.19
"Indianapolis-Carmel-Anderson",2020-05-03,1.15
"Indianapolis-Carmel-Anderson",2020-05-04,1.11
"Indianapolis-Carmel-Anderson",2020-05-05,1.02
"Indianapolis-Carmel-Anderson",2020-05-06,0.93
"Indianapolis-Carmel-Anderson",2020-05-07,0.96
"Indianapolis-Carmel-Anderson",2020-05-08,0.95
"Indianapolis-Carmel-Anderson",2020-05-09,0.86
"Indianapolis-Carmel-Anderson",2020-05-10,0.78
"Indianapolis-Carmel-Anderson",2020-05-11,0.96
"Indianapolis-Carmel-Anderson",2020-05-12,0.98
"Indianapolis-Carmel-Anderson",2020-05-13,1.02
"Indianapolis-Carmel-Anderson",2020-05-14,0.97
"Indianapolis-Carmel-Anderson",2020-05-15,0.94
"Indianapolis-Carmel-Anderson",2020-05-16,0.93
"Indianapolis-Carmel-Anderson",2020-05-17,1.1
"Indianapolis-Carmel-Anderson",2020-05-18,1.05
"Indianapolis-Carmel-Anderson",2020-05-19,0.98
"Indianapolis-Carmel-Anderson",2020-05-20,1.07
"Indianapolis-Carmel-Anderson",2020-05-21,1.02
"Indianapolis-Carmel-Anderson",2020-05-22,0.93
"Indianapolis-Carmel-Anderson",2020-05-23,1.01
"Indianapolis-Carmel-Anderson",2020-05-24,0.92
"Indianapolis-Carmel-Anderson",2020-05-25,0.91
"Indianapolis-Carmel-Anderson",2020-05-26,1.04
"Indianapolis-Carmel-Anderson",2020-05-27,1.02
"Indianapolis-Carmel-Anderson",2020-05-28,1.07
"Indianapolis-Carmel-Anderson",2020-05-29,1.01
"Indianapolis-Carmel-Anderson",2020-05-30,0.92
"Indianapolis-Carmel-Anderson",2020-05-31,0.87
"Indianapolis-Carmel-Anderson",2020-06-01,0.77
"Indianapolis-Carmel-Anderson",2020-06-02,0.76
"Indianapolis-Carmel-Anderson",2020-06-03,0.77
"Indianapolis-Carmel-Anderson",2020-06-04,0.71
"Indianapolis-Carmel-Anderson",2020-06-05,0.72
"Indianapolis-Carmel-Anderson",2020-06-06,0.66
"Indianapolis-Carmel-Anderson",2020-06-07,0.65
"Indianapolis-Carmel-Anderson",2020-06-08,0.71
"Indianapolis-Carmel-Anderson",2020-06-09,0.72
"Indianapolis-Carmel-Anderson",2020-06-10,0.81
"Indianapolis-Carmel-Anderson",2020-06-11,0.77
"Indianapolis-Carmel-Anderson",2020-06-12,0.74
"Indianapolis-Carmel-Anderson",2020-06-13,0.7
"Indianapolis-Carmel-Anderson",2020-06-14,0.67
"Indianapolis-Carmel-Anderson",2020-06-15,0.74
"Indianapolis-Carmel-Anderson",2020-06-16,0.76
"Indianapolis-Carmel-Anderson",2020-06-17,0.69
"Indianapolis-Carmel-Anderson",2020-06-18,0.68
"Indianapolis-Carmel-Anderson",2020-06-19,0.81
"Indianapolis-Carmel-Anderson",2020-06-20,0.73
"Indianapolis-Carmel-Anderson",2020-06-21,0.69
"Indianapolis-Carmel-Anderson",2020-06-22,0.68
"Indianapolis-Carmel-Anderson",2020-06-23,0.57
"Indianapolis-Carmel-Anderson",2020-06-24,0.63
"Indianapolis-Carmel-Anderson",2020-06-25,0.54
"Indianapolis-Carmel-Anderson",2020-06-26,0.55
"Indianapolis-Carmel-Anderson",2020-06-27,0.59
"Indianapolis-Carmel-Anderson",2020-06-28,0.59
"Indianapolis-Carmel-Anderson",2020-06-29,0.58
"Indianapolis-Carmel-Anderson",2020-06-30,0.58
"Kokomo",2020-04-15,1.35
"Kokomo",2020-04-16,1.42
"Kokomo",2020-04-17,1.36
"Kokomo",2020-04-18,1.32
"Kokomo",2020-04-19,1.24
"Kokomo",2020-04-20,1.18
"Kokomo",2020-04-21,1.19
"Kokomo",2020-04-22,1.17
"Kokomo",2020-04-23,1.18
"Kokomo",2020-04-24,0.95
"Kokomo",2020-04-25,0.95
"Kokomo",2020-04-26,1.03
"Kokomo",2020-04-27,1.01
"Kokomo",2020-04-28,1.08
"Kokomo",2020-04-29,1.2
"Kokomo",2020-04-30,1.16
"Kokomo",2020-05-01,1.16
"Kokomo",2020-05-02,1.12
"Kokomo",2020-05-03,1.11
"Kokomo",2020-05-04,1.09
"Kokomo",2020-05-05,1.06
"Kokomo",2020-05-06,1.1
"Kokomo",2020-05-07,1.21
"Kokomo",2020-05-08,1.22
"Kokomo",2020-05-09,1.24
"Kokomo",2020-05-10,1.2
"Kokomo",2020-05-11,1.3
"Kokomo",2020-05-12,1.31
"Kokomo",2020-05-13,1.28
"Kokomo",2020-05-14,1.18
"Kokomo",2020-05-15,1.09
"Kokomo",2020-05-16,1.05
"Kokomo",2020-05-17,1.03
"Kokomo",2020-05-18,0.96
"Kokomo",2020-05-19,0.88
"Kokomo",2020-05-20,0.92
"Kokomo",2020-05-21,0.77
"Kokomo",2020-05-22,0.69
"Kokomo",2020-05-23,0.62
"Kokomo",2020-05-24,0.62
"Kokomo",2020-05-25,0.62
"Kokomo",2020-05-26,0.7
"Kokomo",2020-05-27,0.75
"Kokomo",2020-05-28,0.87
"Kokomo",2020-05-29,0.88
"Kokomo",2020-05-30,0.87
"Kokomo",2020-05-31,0.77
"Kokomo",2020-06-01,0.98
"Kokomo",2020-06-02,0.96
"Kokomo",2020-06-03,0.94
